"game_matchup","home_team","away_team","away_numbergame","away_id_team","away_countdaysrest","away_countdaysnextgame","away_fieldgoal_made","away_fieldgoal_attempts","away_fieldgoal_percent","away_fieldgoal3_made","away_fieldgoal3_attempts","away_fieldgoal3_percent","away_freethrow_percent","away_fieldgoal2_made","away_fieldgoal2_attempts","away_pctfg2","away_freethrow_made","away_freethrow_attempts","away_off_reb","away_def_reb","away_total_reb","away_assists","away_steals","away_blocks","away_turnovers","away_personalfouls","away_points","away_plusminus","away_ind_win","away_ind_secondb2b","away_ind_overtime","away_offensive_rating","away_defensive_rating","away_raptor_offensive","away_raptor_defensive","away_raptor_net","away_oefficiency","away_defficiency","away_ftr","away_pace","away_turnover_rate","away_atr","home_numbergame","home_id_team","home_countdaysrest","home_countdaysnextgame","home_fieldgoal_made","home_fieldgoal_attempts","home_fieldgoal_percent","home_fieldgoal3_made","home_fieldgoal3_attempts","home_fieldgoal3_percent","home_freethrow_percent","home_fieldgoal2_made","home_fieldgoal2_attempts","home_pctfg2","home_freethrow_made","home_freethrow_attempts","home_off_reb","home_def_reb","home_total_reb","home_assists","home_steals","home_blocks","home_turnovers","home_personalfouls","home_points","home_plusminus","home_ind_win","home_ind_secondb2b","home_ind_overtime","home_offensive_rating","home_defensive_rating","home_raptor_offensive","home_raptor_defensive","home_raptor_net","home_oefficiency","home_defficiency","home_ftr","home_pace","home_turnover_rate","home_atr"
"MIN @ ATL","ATL","MIN",36.5789473684211,1610612750,4.26315789473684,1.23684210526316,42.1842105263158,87.1842105263158,0.485921052631579,12.4736842105263,32.2368421052632,0.385572944909574,0.794710526315789,29.7105263157895,54.9473684210526,0.542806251575356,17.6842105263158,22.1315789473684,10.1578947368421,33.4210526315789,43.5789473684211,26.3157894736842,7.28947368421053,5.36842105263158,13.2894736842105,19.2631578947368,114.526315789474,5.26315789473684,0.657894736842105,0.131578947368421,0.0789473684210526,115.6,108.8,0.1,6.7,6.8,1.14755246542786,1.09228155066238,0.257592730841752,2.08445175438597,0.132579407658616,2.14418760249581,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
"HOU @ ATL","ATL","HOU",40.027027027027,1610612745,4.40540540540541,1.19444444444444,40.6756756756757,90.7567567567568,0.448324324324324,11.6216216216216,35.5405405405405,0.329054982232729,0.756297297297297,29.0540540540541,55.2162162162162,0.526869428429645,18.6486486486486,24.5135135135135,12.2432432432432,33.1351351351351,45.3783783783784,24.2432432432432,7.43243243243243,5,13.4054054054054,21.9459459459459,111.621621621622,-3.59459459459459,0.324324324324324,0.189189189189189,0.108108108108108,114.3,112.7,-1.2,2.8,1.6,1.08776394208582,1.1239848625468,0.271788933790393,2.13968468468468,0.130011500509306,1.97180700195406,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
"LAC @ ATL","ATL","LAC",40.125,1610612746,1.1,1.1025641025641,42.175,86.275,0.48985,13.25,33.425,0.396377313884513,0.8294,28.925,52.85,0.549522483737484,18.6,22.525,10.125,32.4,42.525,24.75,8.225,4.8,12.775,18.725,116.2,3.35,0.625,0.2,0.025,119.8,116.1,4.4,-0.7,3.7,1.17606903266346,1.13798778158151,0.264328134495423,2.05908333333333,0.129571402786921,2.17790709290709,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
"NOP @ ATL","ATL","NOP",38.6578947368421,1610612740,4.07894736842105,1.05263157894737,42.5526315789474,86.2631578947368,0.494105263157895,12.1842105263158,31.2105263157895,0.384560278561242,0.771184210526316,30.3684210526316,55.0526315789474,0.553252567518682,17.6842105263158,23,10.3684210526316,34.3157894736842,44.6842105263158,26.5,7.73684210526316,4.55263157894737,13.2631578947368,18.5526315789474,114.973684210526,4.97368421052632,0.631578947368421,0.210526315789474,0,117.4,112.6,2,2.8,4.8,1.15941386798001,1.09696512965408,0.270388158449255,2.06828947368421,0.133810082867909,2.13867233591549,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
"SAS @ ATL","ATL","SAS",37.2631578947368,1610612759,1.21052631578947,1.2972972972973,41.7368421052632,91.1052631578947,0.458947368421053,12,35.1578947368421,0.345183313015511,0.765289473684211,29.7368421052632,55.9473684210526,0.533081505645392,15.2105263157895,19.6578947368421,10.0263157894737,32.9210526315789,42.9473684210526,29.6315789473684,7.28947368421053,6.10526315789474,14.7368421052632,17.2894736842105,110.684210526316,-8.97368421052632,0.210526315789474,0.157894736842105,0,110.3,117.3,-5.1,-1.8,-6.9,1.06140981399876,1.14753113106713,0.216972259559153,2.17635964912281,0.14059599382015,2.33211375626945,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
"LAL @ ATL","ATL","LAL",38.8947368421053,1610612747,4.28947368421053,1.02702702702703,43.3157894736842,88.3947368421053,0.490789473684211,11.7894736842105,32.2105263157895,0.364769523426315,0.755315789473684,31.5263157894737,56.1842105263158,0.564114384678827,18.2368421052632,23.6842105263158,8.02631578947368,34.8157894736842,42.8421052631579,27.8421052631579,7.15789473684211,5.76315789473684,13.8157894736842,15.8157894736842,116.657894736842,-4.10526315789474,0.447368421052632,0.210526315789474,0.0789473684210526,115.7,115.5,0.2,0,0.2,1.11531807587223,1.15313001506142,0.268602460418668,2.17927631578947,0.131810006947538,2.24542667944371,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
"MIL @ ATL","ATL","MIL",40.9210526315789,1610612749,1.21052631578947,1.13157894736842,42.8157894736842,88,0.487105263157895,13.6315789473684,38.0526315789474,0.359936590697402,0.753921052631579,29.1842105263158,49.9473684210526,0.584156402708192,18.4210526315789,24.4473684210526,8.81578947368421,34.4473684210526,43.2631578947368,25.9210526315789,6.55263157894737,4.86842105263158,12.3947368421053,19.2105263157895,117.684210526316,-0.210526315789474,0.473684210526316,0.105263157894737,0.0263157894736842,119.2,115.7,3.7,-0.3,3.5,1.15056766877233,1.1486284019619,0.282677071826445,2.13199561403509,0.120905457694581,2.22818496003481,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
"BKN @ ATL","ATL","BKN",40.9487179487179,1610612751,1.25641025641026,1.15384615384615,40.3076923076923,88.9487179487179,0.453769230769231,12.8205128205128,36.1794871794872,0.353834883474486,0.754461538461539,27.4871794871795,52.7692307692308,0.524049677117443,15.6666666666667,20.9487179487179,11.2051282051282,32.025641025641,43.2307692307692,25.6153846153846,6.51282051282051,4.33333333333333,13.6666666666667,18.6410256410256,109.102564102564,-6.76923076923077,0.307692307692308,0.179487179487179,0.0769230769230769,113.7,116.4,-1.8,-0.9,-2.7,1.08332598122124,1.15099019177093,0.239571971190327,2.09641025641026,0.136191984165246,2.03545237860849,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
"PHI @ ATL","ATL","PHI",40.6842105263158,1610612755,4.18421052631579,1,41.2105263157895,88.0526315789474,0.468763157894737,11.8684210526316,32.8157894736842,0.357667143436522,0.799105263157895,29.3421052631579,55.2368421052632,0.531216507653931,19,23.5263157894737,10.7631578947368,30,40.7631578947368,24.1052631578947,8.42105263157895,5.76315789473684,11.5,20.9736842105263,113.289473684211,0.473684210526316,0.5,0.184210526315789,0.0263157894736842,117.1,114.9,1.6,0.6,2.2,1.14264900501143,1.13151497529568,0.268438509410106,2.06543859649123,0.116175531093795,2.34854058265436,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
"CLE @ ATL","ATL","CLE",41.3846153846154,1610612739,4.05128205128205,1.07894736842105,40.7435897435897,86.1025641025641,0.473358974358974,12.9230769230769,36.2564102564103,0.35239035807082,0.77374358974359,27.8205128205128,49.8461538461538,0.558857258825545,16.5384615384615,21.4102564102564,9.17948717948718,34.2051282051282,43.3846153846154,27.0512820512821,7.35897435897436,4.87179487179487,13.7435897435897,18.5128205128205,110.948717948718,1.46153846153846,0.564102564102564,0.205128205128205,0.0512820512820513,115.3,112.4,-0.2,3.1,2.9,1.10890562559947,1.08726216881532,0.251626346889386,2.08514957264957,0.137699800855848,2.04356963214429,40.7179487179487,1610612737,1.15384615384615,1.10526315789474,44.7179487179487,92.9230769230769,0.482410256410256,13.8205128205128,37.1794871794872,0.371912536653422,0.806641025641026,30.8974358974359,55.7435897435897,0.555044231176042,19.1282051282051,23.5897435897436,12.6666666666667,32.4102564102564,45.0769230769231,27.5897435897436,7.48717948717949,4.84615384615385,13.4358974358974,18.3589743589744,122.384615384615,1.35897435897436,0.538461538461538,0.256410256410256,0.102564102564103,118.3,119.4,2.8,-4,-1.2,1.17578354112587,1.15407541756673,0.255120632772377,2.16816239316239,0.129230922602501,2.24391347471468
