"","year","ID_game","numberGame","ID_team","isB2B","isB2BFirst","isB2BSecond","homeAway","name","countDaysRest","countDaysNextGame","outcomeGame","isWin","fieldgoal_made","fieldgoal_attempts","fieldgoal_percent","fieldgoal3_made","fieldgoal3_attempts","fieldgoal3_percent","freethrow_percent","fieldgoal2_made","fieldgoal2_attempts","pctFG2","minutes","freethrow_made","freethrow_attempts","off_reb","def_reb","total_reb","assists","steals","blocks","turnovers","personalfouls","points","plusminus","ind_Win","ind_SecondB2B","ind_overtime","offensive_rating","defensive_rating","RAPTOR_offensive","RAPTOR_defensive","RAPTOR_net"
"137",2018,21700065,5,1610612737,TRUE,FALSE,FALSE,"A","ATL",2,0,"L",FALSE,32,81,0.395,11,28,0.392857142857143,0.846,21,53,0.39622641509434,240,11,13,7,33,40,22,10,5,10,23,86,-5,0,0,0,105,110.6,-3.6,-2,-5.5
"138",2018,21700065,4,1610612741,FALSE,FALSE,FALSE,"H","CHI",1,1,"W",TRUE,31,86,0.36,7,32,0.21875,0.759,24,54,0.444444444444444,240,22,29,18,44,62,20,5,4,16,15,91,5,1,0,0,103.8,110.9,-4.9,-2.2,-7.1
"139",2018,21700074,5,1610612760,TRUE,FALSE,FALSE,"A","OKC",1,0,"L",FALSE,43,86,0.5,8,28,0.285714285714286,0.88,35,58,0.603448275862069,240,22,25,11,24,35,19,8,9,14,29,116,-3,0,0,0,110.7,107.2,2.1,1.4,3.5
"140",2018,21700074,6,1610612750,FALSE,FALSE,FALSE,"H","MIN",1,2,"W",TRUE,42,86,0.488,8,22,0.363636363636364,0.771,34,64,0.53125,240,27,35,17,27,44,23,5,7,16,21,119,3,1,0,0,113.4,111.1,4.8,-2.4,2.3
"141",2018,21700072,5,1610612743,FALSE,TRUE,FALSE,"A","DEN",1,1,"W",TRUE,42,91,0.462,4,20,0.2,0.739,38,71,0.535211267605634,240,17,23,11,35,46,25,8,4,12,12,105,5,1,0,0,112.5,111,3.9,-2.3,1.5
"142",2018,21700072,6,1610612737,TRUE,FALSE,TRUE,"H","ATL",0,1,"L",FALSE,37,89,0.416,14,33,0.424242424242424,1,23,56,0.410714285714286,240,12,12,11,32,43,23,7,4,12,21,100,-5,0,1,0,105,110.6,-3.6,-2,-5.5
"143",2018,21700070,6,1610612745,TRUE,FALSE,FALSE,"A","HOU",1,0,"W",TRUE,38,85,0.447,22,57,0.385964912280702,0.846,16,28,0.571428571428571,240,11,13,7,44,51,21,5,6,16,26,109,16,1,0,0,114.7,106.1,6.1,2.5,8.7
"144",2018,21700070,5,1610612766,FALSE,TRUE,FALSE,"H","CHA",1,1,"L",FALSE,33,88,0.375,11,29,0.379310344827586,0.571,22,59,0.372881355932203,240,16,28,11,33,44,16,6,5,9,14,93,-16,0,0,0,109.4,109.1,0.8,-0.5,0.3
"145",2018,21700071,5,1610612753,FALSE,TRUE,FALSE,"H","ORL",2,1,"W",TRUE,48,84,0.571,11,23,0.478260869565217,0.5,37,61,0.60655737704918,240,7,14,6,39,45,22,9,7,18,24,114,27,1,0,0,105.2,110.1,-3.4,-1.5,-4.9
"146",2018,21700071,5,1610612759,FALSE,TRUE,FALSE,"A","SAS",1,1,"L",FALSE,30,89,0.337,4,24,0.166666666666667,0.852,26,65,0.4,240,23,27,17,32,49,19,8,8,18,15,87,-27,0,0,0,107.9,104.8,-0.7,3.8,3
"147",2018,21700073,6,1610612751,FALSE,FALSE,FALSE,"A","BKN",1,1,"L",FALSE,30,75,0.4,11,30,0.366666666666667,0.714,19,45,0.422222222222222,240,15,21,5,30,35,18,5,1,16,20,86,-21,0,0,0,106.9,110.6,-1.7,-2,-3.8
"148",2018,21700076,5,1610612761,FALSE,FALSE,FALSE,"A","TOR",1,2,"W",TRUE,40,93,0.43,7,29,0.241379310344828,0.7,33,64,0.515625,240,14,20,9,31,40,27,12,4,14,24,101,9,1,0,0,113.8,105.9,5.2,2.8,7.9
"149",2018,21700075,6,1610612744,FALSE,TRUE,FALSE,"H","GSW",1,1,"W",TRUE,46,95,0.484,10,38,0.263157894736842,0.9,36,57,0.631578947368421,240,18,20,15,38,53,33,7,13,18,20,120,3,1,0,0,113.6,107.6,5,1,6
"150",2018,21700075,5,1610612764,FALSE,FALSE,FALSE,"A","WAS",1,1,"L",FALSE,43,97,0.443,15,33,0.454545454545455,0.727,28,64,0.4375,240,16,22,12,29,41,30,7,6,15,21,117,-3,0,0,0,109.3,108.7,0.7,-0.1,0.6
"151",2018,21700076,5,1610612747,TRUE,FALSE,FALSE,"H","LAL",1,0,"L",FALSE,36,79,0.456,3,23,0.130434782608696,0.708,33,56,0.589285714285714,240,17,24,9,40,49,20,7,6,21,22,92,-9,0,0,0,106.5,108,-2.1,0.6,-1.5
"152",2018,21700073,4,1610612752,FALSE,TRUE,FALSE,"H","NYK",2,1,"W",TRUE,44,98,0.449,9,27,0.333333333333333,0.588,35,71,0.492957746478873,240,10,17,19,36,55,19,7,6,12,19,107,21,1,0,0,107.1,110.7,-1.6,-2.1,-3.6
"153",2018,21700081,7,1610612742,FALSE,FALSE,FALSE,"H","DAL",1,1,"L",FALSE,38,74,0.514,19,40,0.475,0.789,19,34,0.558823529411765,240,15,19,3,30,33,22,7,2,18,15,110,-2,0,0,0,106.3,109.5,-2.3,-0.9,-3.2
"154",2018,21700081,6,1610612755,FALSE,FALSE,FALSE,"A","PHI",2,1,"W",TRUE,43,87,0.494,16,35,0.457142857142857,0.714,27,52,0.519230769230769,240,10,14,11,31,42,25,10,1,14,21,112,2,1,0,0,109.5,105,0.9,3.6,4.5
